Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-5,63523176784644E-07","-0,00108878063396016","0,0123412189762314",0,0,0,"0,0470666748718791","1,3879830300452E-05","-1,47891140862479E-11","-5,39694360742728E-11","4,36044503912351E-05","6,54133856756778E-07","3,32416203172708E-05",0,0,0,0,0,0,package://IRS/meshes/base_link.STL,"0,101960784313725","0,101960784313725","0,101960784313725",1,0,0,0,0,0,0,package://IRS/meshes/base_link.STL,,add2-1;Part84^PJ 0090 0004 - JACO² 6DOF_KG-3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,"-0,000196117482437084","0,0406588508218562","0,0329622926046537",0,0,0,"0,0538582887407261","5,58983226686998E-06","-2,45410121434724E-07","4,96925374119221E-09","2,81822837923353E-05","-3,97956641866437E-07","2,89916984968694E-05",0,0,0,0,0,0,package://IRS/meshes/Link_1.STL,"0,101960784313725","0,101960784313725","0,101960784313725",1,0,0,0,0,0,0,package://IRS/meshes/Link_1.STL,,Part1^IRS-1;IntelRealsense_D435_Multibody-1,Origin_guia,Axis_guia,guia,prismatic,0,"-0,054291",0,"1,5708",0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
